subject_id,gender,height_cm,weight_kg
c2wRe4_1XQ8SgSyvdQ1q_3dSqL1z6UENXH7995g_JcM,female,156.0,57.9
C4eUasGyUmouxCn3dW_VQGEmcQZq2H1iQewpHcAnpY4,female,170.0,111.6
lHX6VSH7bq6HPViCboPODe1428VJgu_a_khhsTNbBoM,male,179.0,73.9
rQ5474HoKQQuFWh9F7AhX6apIMVJQS7jQk8h30a_W5A,male,167.5,78.1
5TM9fQDmC20gmmXZuGLU0ucsepZRpx_SI-cW_afGpuk,female,171.0,104.7
59bc2765681516389ccf4506,female,165.9,71.6
_ovr03EQ9z5Yb7WgWcF-GvQ1NGf6WISE41AdeKpPUHA,female,162.5,64.8
iMd1IQa4iCtLJGl96B-v3YLA43q5PKkHPLq_NErNHn8,male,176.0,92.6
w1S9C2SVqoRaq78o9aRcm2V2EQgZM8QKNKon8CGQlqw,female,165.0,55.0
Ylq97JrtAQT98-f2DO2SS8hFakH_M0wum2bLEq05Rts,female,166.5,66.0
R8NuQWMLxyAqIMg7Qpko_JpOGiaFOPPPtRJyO7M0EKI,male,172.0,74.5
_3-R25JI0YzASz7y_uVjaSarVvBOgqdH232OnjLTc3k,male,173.5,67.2
nwAfc1j85ArcxylcM7R3QrbLOO7U9nq511DysV5fztA,female,170.6,63.5
v3ClQb9YrQhd827TorO4lK6E0tXA7FdnOJWrVrfLSWw,female,162.0,64.3
fAGmnLEVTQZRmDX0ss9x1oRHluvHWbfYFRiTKiU4VQE,male,167.5,62.4
lOVaCyaKOXi-xzihW4vbhelKwQg-J_HqxxAsSy731Yw,male,174.5,130.3
zCYO_1v9_1cSq5-zjqKoPweA8AOYYRDZaaggWwktp14,female,164.0,52.5
pyOXVTifAUGrX1JXm1ZtVzNSAAStwDjKFyyTPcX4UWQ,male,173.0,96.0
6eQbm6gjjbOQhKo9bEr_qPN9pD6esc5UyYg5M9nx2j8,male,175.3,93.3
Wki2pz6WfQdOY9ksDG0Z-f2NId6V-bGffuo12oubG6Y,female,154.0,52.3
nX-NtISRMiZ9E5UHCG8bBtwzP-uOLBhfGt3gjXnVoaE,male,179.5,106.6
G_BvRqeilfd-QcsunGbp420g3hBQUozky4eae3q-aWU,female,167.2,55.1
YBu9EUNDHErCipT3oBRk0DJLU3ckB3du_10pnb_Bcto,female,156.0,47.6
cDIyarQNfRqEmwKfPmk5N2AdnyRBD_11FgqJqOa4Jrs,male,175.0,83.6
0TB8jga-bvUKDzamFAMxKP2Wi5FZbz4CjoDbaJR5rL0,female,161.0,65.4
dvjGm4-TJHm2M9vd8Pz8yfzM6iMUytUB_WwBVu3oP6o,female,158.0,62.7
0jBQ2v3WgYwJnB4fk9KcmKxsqjfc7FJjqbhodVZ5B3s,male,175.0,78.5
1AJevVtpMGE2aHjT-G-uV1tCgLvUtogrEeOXGtYr6lU,female,166.6,46.0
lj_E0rjQIchHtS8Fo5tbDSR2pwF0GWPTCc0wJxdz8Pk,female,148.9,79.1
ODuK-nE1GXeZcIl0NeN_jBxCzTMZpnBnOTcnOmFntOg,female,167.5,91.1
60qM1XQwZ1nYEa4xkAKSEeQPXDMZhARQQ7-eoib8NLg,male,173.0,99.4
j7DEL6vSQ6axTzcQzLuswrQ-oCXpNjdZ3aXhK9TQttg,male,168.56,90.3
tGvG_2rJZpK50WjbuuLzqs04zvIpJWt5wlSE1ucBzBQ,male,158.4,63.5
vzqB2fio0A12TbuTFf9yA1x4WXQ3iLVjrZGB48I1Fek,female,163.0,62.4
GR0OfDwU5g67sz2zOj5aMhSgH7dbefnoTZVd-wlrp-o,male,171.0,85.2
pgOZ3BgwXku9lDmAQ7bFtQdiarb04U-RoyF4ns_Lqtk,male,181.5,91.4
naYKao4sDoli1ERR94Ueil_W36fBi1-LIdN3pp7epRw,male,182.7,81.7
b7IkkTbRUyhi-RbIZjSibLOfbE5qWJyWHk7GPCAM__w,male,176.2,108.1
9IC9WEy5Pe3-L68GBQ2up5wFt93AaC7DRS8oaNiWQbg,male,186.0,81.9
t9DaCSdjNVqTqRXmDIhtx0hYGqwNuQQv4x8O3Qu0En0,male,182.8,81.6
SIHAb6fgQDObq-GM6uTbh6snDvVmC0A2B-GKzkEUssI,female,163.5,96.1
mrJrmDWqztxtflUdZLjP22a4Zc3BmKrenkQbNvvUY48,female,167.64,81.6
mNmNJAO5YfrQkqGe_gEMVbmpSzq3NOffDz3VbzAfnbQ,female,159.2,57.1
1THGPmtU9KHCGD7ez1tG3OzJ8mhohHH54gB7AHMtZWE,female,157.0,63.6
hckJ_LzZXQZ93unUDPNdIPq4MLzZt8jGff80_MUNPI0,male,178.6,103.5
PZChhSxVuyO9f5UK6WhnoQBCrQvCG0QpFcT8l26ygZY,female,157.5,50.1
IGrg9yndQwo4NQP8Y6-gMZOXHdE6vlEDIlS4G6baKPs,female,158.5,61.2
Vu3CEIT1WYp4K9S2HWJ3qzqZLWD4PST3jbsITykDpQU,female,158.5,51.7
cTfAPRBOZ-XM_N5yTgv5klsdslP7k3shffq5KzfSs3w,female,168.5,60.8
Qg_1gS-w_FZnpERPqh8qtVuvG0mC09gNs1SZ076J9P0,male,176.5,58.8
RBvdQf0N8v_cb7bIkfAnJ4-ePj2_0qzlApAcHXvDly0,female,179.8,65.7
BDQE9C49TtoYtPGOLcINdrufHgoGZpGuMUFJ_StZPMo,female,150.9,59.8
CfPEXNqdOYjrfMXM6aSmJeLTee7RYB12IbIpvIv85p4,male,177.0,58.5
RJNhxRjFu2mxTZ30pWhdRfaPNQaG0BrZ3G4Yab23rJ4,male,180.3,78.0
z-W3VNHWddUvT2Q6UkY1YWz4bFV3UGmxWW3dKksNMmY,female,163.2,47.2
bb50fznydqH1fgzmFijGcaLtYv0A7rthQQCCTGRlJU8,female,164.5,59.8
5xqxW4siwJ2JZjsvbGnX4hArqM9rUT1yaya6ceEmzBQ,female,163.0,54.0
4rwj1-rYNLdbP_nsUg4bqZ4JhcemGrnFl9KSsWRDRVE,male,178.0,72.6
GnIrZIVkkbdXzkDmCry74cxFi4LIWwl2S44x5a8_DKI,female,168.5,68.6
G39-mpOUVw6Y2ZSibqFq0W0pHcE78KQj7GQKYb4-tec,male,180.5,135.6
BES8fhGYi5ZlydfdUwF42mpmtZ_7LBx9QrQgIVXm9M0,female,167.1,76.6
q78uAr4pc-2XghQ2yeabIl1r8Ii76ZC1BNWDnHtieic,male,175.5,84.7
Na63kNYZzrEHInX4Pld0pc-1FmUsWwHvzJI7w_Srtgc,female,148.6,61.8
mScbYUVuYWzIFZr-Uenm7cBMPU4OJr58OZl08B6mO-A,male,180.0,73.2
QJfMd225tzMV8XFrpwqTEYK9xUXkIkXXVbtrtU6D2HM,female,155.0,60.4
59bc2768681516389ccf4649,male,175.5,103.7
uTY5FBgjLxijNJB_uG9Phgf0RqpZGA9waXkl3cUZZOU,female,155.7,85.7
cM8HFlUJ7XCSJtkUITL70STBcS0S_1tuKK4Mlt8c2eo,male,155.4,83.9
8QGTxvQvOppeq5L8fxdmmwBR09prMO5ukTzaSJ-iyFI,male,169.5,75.3
hWTpGLivAaSe0tE_IqN2nFF2ArjPTUbNlC89MGdjxPw,male,176.7,66.2
yJUrBXGs72HhyPUsNfLJO5teaG5VR0-Wz-fCZW-L680,female,162.0,47.0
KLTrZbpVfBq8gREmwKKoefd9owIgDVeQsTFxMu210NY,female,163.0,81.5
Edo_RWksTNfibAJuEmufmY8tMCVny2eoGJqHU_StuKE,male,173.7,81.8
rVjSAj4Zs8ix3cIcwV_pJ3j8wj4i-JhDRfpRds4TERE,male,181.0,94.1
17dftzvsFs0G2o7C68pLFPFXDCFUoq3Ly0JItV_LAxE,female,165.3,51.7
y0QIxvL7kr3awB6w2ZSG-FVfXKeR7DCrBsqVql7BAhM,male,171.5,70.5
F6wa6igx2BT2MGn7VoI_6_P7iJ-Nwqb2kRl690PpyFc,female,155.7,50.2
dGkbbUHmDrosO26yS6FqQgUpR8McngfEQJrRtKnfnvg,female,159.5,56.7
w0K2f8Ydmh7_1N0VxeIBKUnmvETZCTouvGfziitms5Q,female,155.1,64.8
oN2-idLw7Rm54q36EAA_1Jt1wJ2xzi-EzFiKcIZaayE,female,163.5,59.1
B0WEf1gfS0toyENhLbi508wjdezEnB4VWUvueSUoYwg,female,155.1,60.3
raDZkxE9KLElp0Kb8DmbUVajIleujTF0gGsA5ZzDq2g,male,172.5,81.2
cJhdSENkbMN0ZodggBK38f_kZJGZqkGPADVwcEohI8I,female,164.59,52.1
T5_1Ztx0qIBb3WNgY74c1ifECdjCEAQymJC7rNUFTQk,female,168.0,103.9
XbMFI5UdatecXydKy7zmrbNYVzDC0U5pFiTbcW1--V0,female,169.5,59.1
145HjgF9pF3ZfZSv6aYi961ID9ri0SjP24h6z_Vs7n8,male,180.5,82.2
rbLZ3JoX6YEvQ_gQ5Byu4y_HfwlX7udlhLGZr5tDMAc,female,171.0,71.7
lbVpxtyZE8Wp-YG7vcPrkT-QhfopxEMG-nBXwgdqY0g,male,173.7,87.0
ADrQjvM6I-RSGe0_27H4bVrFMcLz3-ZgOX_iDb2D7Wc,female,169.0,125.0
cPc0TYYxwjT9EmZKXpwFPnjcFFeZTveIrwhAcTXKHFA,female,164.0,56.3
q08r7gS_ZvdJRTZ95a2G-2gWaLlDLF2zXWoG9uxP77E,female,145.0,50.0
K20rwey6FcUr2WrbkeJ87KkUW2q6L0-wgR6JT5iy-G4,female,159.0,61.7
oXJXeWQCkZ6XQPEADaiAImvFuO4e55ImBKrpZUlNqLc,female,160.5,50.5
cED5o2sIjQfsgJA9c6wvxhsUTnQz6ZoqcwJCmQjnhJs,female,169.0,94.7
D0G8uvIn-DF_BFWEhQnGKam7wgBT87Xk7qOc6J0_gUg,male,182.0,69.3
7UZuaEb_MZocyFulIycwK91lB54gCnBQBVxEEIozBTA,male,171.5,81.4
KtiQ4nZ6b6n5IHWApFokgzkKfpj5MtzxGsOKBS2zwlQ,female,164.0,59.0
i-nLQ8pBTFAYSZ1v0dWF8HYcxB5cVMjztxUO6BLM0cU,male,177.0,104.7
pSd0beSmYvV1UqS-Fj0IG1DyKzuQ7nlB5O_2BvotvX4,female,169.8,63.8
vH4d2L_hLSPylpEzrjN_HUFZ4eJEeJosXMfbaM-5lsk,female,167.6,62.5
hMKcIQojYeupT1_PWjV6XDlmsn_7mNWQmRChPzjIJcg,female,171.5,63.1
hX65CmXWMoDEXceked4Bz4ft0eujzDmHJMUM8TcVvdo,female,164.6,89.4
nY_tYlRMcPO6BiPSsGT7U7CVrJwG98ZfVdZuj-Xj0s8,female,163.5,58.7
DkMNvQQUXi62EQtW1lBt3tXvl-Jmg8M1-aBUYc6z1vc,female,152.6,55.3
jItTYK0W4R0KKxiAspTnrbL-GLiYWUWEntwIdq5LhWk,male,168.0,67.4
XBnf9606yR_xW92IU6Ojvjiix4WNWw-uqbxxo-woIk4,male,179.5,68.5
WgNsALoT75d8UikD0pyojUzeliyP0cG_O8JvuDf6Byw,female,165.5,61.3
hN73fvh_zp2hTJvv__7NmeodVl1Dxhk4XorXmnLY5xw,male,173.7,77.1
H5G3OHLXxiN1XKFqza7ZUnUv2chIpEt5bXpvF7eDW3Q,male,172.0,67.9
qonjbwPDaE7YGZe6LpVQJSuWiZ-n3ttgMF3mNrqoKx4,female,177.0,49.1
Ev559J8sYhJBGQAcohEDshMRkWWPCJqUOMcZPo0vZQ8,male,182.0,69.0
FNTXosSAuG8yRrIN7DQbSyylJ4a0o-G_4hK2iWCHg2o,male,183.0,90.5
Y1VSDdyurSCt7P0e4BqTrw0C6w-BJdWDXjCnDF_ba3M,female,161.0,71.1
Z7Y5H8Rs3VwpYnrh_ldrvbf7YQsSmG6JuaeOjQP96zE,female,172.5,56.2
26gnWpM3ws3ugDnBWRUn014NPtZIw28y1W6lZHSpRk4,female,165.5,60.6
J3AcXhg5f2mr5qRSKD_-CH7jL-hw6HDz9lx_HiYYra8,male,169.5,66.1
ylbrWq_zykq1nB1Ru7nrQQ5CRnVtK4551CECb51_Pzk,female,156.5,51.7
ApaFHEE8GQXV-xDMQSUSMartSh9dZXXSwBdlntq-ds0,male,171.5,61.8
0AQqSm49JJoFaYTzjDcmRHM4gdwcYZyOqXBZ_yvNy0E,male,171.5,63.8
Pj48rRZVF9CVJ_MltMZwnDXNybqa0l-S2o6aWqxVPBc,male,176.0,80.8
XAfhSHKVLh1TufsAmAgv7vKa7lmbjgXwP90BMR0za2Y,female,173.7,130.1
qzBByobQQSjIWJl4xB_8P8RdEXgdoa1N429Qk6rmOzw,female,163.7,44.7
wKgllBySGRgqwQEV0Ty5QLsq45EviD8GB1ssvdbrpFM,female,172.0,75.5
NJlhDoVygMEP13fab6sfzY35QwuQEnNzpFM8xVgvODU,male,173.0,95.1
Y4e2uNX2mIJuMc8kJ-D3b3HgQehD6dXSBwqCeGMjB6k,female,167.6,56.6
bRUIY6tfqp0SRzqphFRQ0wV5IG7CaVsT6USBUip-3xU,female,161.5,62.0
CEKC3G5_9_ADiXbet78JjJBTOosFCi1gVDIPFaiO-HQ,male,179.5,77.1
qQGbqsURx9HairHR7N6yhVQw3uN4EvGVfWGbE-RtO3g,male,192.0,112.2
OpIs8h7XjnWcRtjw1UZPg1C_lAOIBQj978VsPp2I5DA,male,175.5,74.7
K4yuVuCoqLGRjHV5BUmqDdfHZZqUqgSJXYM5Gr13Bv4,male,185.0,123.8
Ns_Npd_7GGwT1H6sxT2HkH6CBABI6NGFKPEgcza7_Ak,male,174.0,67.5
q6ig-2R6NfsMqvwKFixtgth6Vr2OE2s_MBsJR_a_7QA,female,172.0,50.8
_Gqw-g6nwnBszeu-RoTbJOpr51jf7a4nPhWYHGBO3j0,female,159.5,80.4
1olHWQm2nBceX-FNvbqpXRfDzNHDnPEmqE1ll7iMCIo,male,170.0,75.4
sz5sjW6rK1Gay3i2X85fGHu0FYbSh7b8q9BcKNpMq4k,female,164.5,56.2
rF5hMzRNGQQd2t2NMAdPO0puaVfSbW4WLllam0oItto,female,173.7,58.0
VdspwHpdezYz_ZH-2zjnQS37EeaVEWdgicBUYk-U6CM,female,161.3,47.8
hTPCGxc9IJNFoBMDF4jwHueiJYHhRBcSijcoJzltUTU,male,161.5,68.0
uBSQZTVjnHVqb8OP-BKKTHEDndvnyy0h7OvWe2cGO3U,male,190.0,99.2
pCtBcyQpIqGHleYiYqjTjmAMDTnblvQxDCuAOhgDCpo,female,166.0,72.7
azAuKnRCthiDdYjhiQQTg7_lMKwEE5VTRwu5XRhdiww,male,188.9,88.4
9EaimZrRMF80lcFWZgOgL10d8T21DT0ZJ5fWTxjNYbo,female,155.0,94.9
Eg598gtFscEXzCbeeDI1UvyH5V9cpOnDa3of1X7QNdM,male,173.5,73.3
TlIG_3sXZLuH7T9nQMivDNnzJn4fFYQy1P0KqC3ldUQ,female,168.0,62.0
X9Nl-YA79-q6fQ211shMSyfdmutrzFhAMm6Riy3lMrE,male,188.9,108.8
tSVOLeQfX3V9LBcU7xp4QFboh558QEm5ucaxAVkAT2s,male,174.0,100.0
N8lTUHTD3JXcIQtTMNKhmzLBPajzI8tqLo1uJUVy_18,female,164.5,60.0
hdX0tCobySqi8hLYy8c_K22HD7YBC97Hx2wkqA0MrF4,female,162.6,57.8
5TJEjrEATRi6qua4FW3KsC9a34Nf2JWV572lOKqWItU,female,163.5,55.7
OMKVe2JAZ7Omn-5otiXCiiYPbwdWDvNXUHHhEkTKN3Y,female,166.0,83.3
59bc275b681516389ccf4138,female,162.0,78.0
euYIzweveWQR2YkbEJBkSeRsOXNjePkXxNQdCHVc72Q,female,170.0,90.0
ioKkzb2uvOMkrygpnb575gTENFeurkfTZH_oLYclNwM,male,176.0,65.0
I7T7u9B89_G9v5RY380Q3n7yaScyr6KVXploESnm1jE,female,168.0,62.4
fVpAG_A95WbhNPXy_ucAI8OZav8gPuR3XNf_g_fvtRU,female,155.4,54.4
uAaeY5FmyJfEpMHU7YWHwciwCnSDkykg-eN2dn3mgEU,female,169.0,61.09
ywxDJa9T9e9-ISArokH6itc4fwDRTCLuOHLZzOS2Tgg,female,153.5,44.8
0PghUpgAgKJiVgHZpWydh6WqIYKYTlzV-5QR7eSR318,female,155.5,49.8
qFzAW1qkXMC0OZfRr7LfqyUx7Rea3XaF3s4OyyAW_Ss,female,155.5,50.3
xxc-j-QEiwIlUhhugmK30VWxX8bhUMSvtoo7vpST4Nk,female,161.5,64.8
Sv7G5bjjzfSMgaP9mI0t7tlPxz2_X_XHR2pHH5PfgIw,female,174.1,70.4
pfU05_t16cKGonnvTjwHJRJj9MuKbQIRoF0V8cO-O0U,male,181.0,75.0
NkOV3o6p9Z6hfBDMNP1F9017tpOIn8JsDky_da8A2Oo,male,175.26,77.1
r8OVd5m4kNsF1sFnK0AGWYzd7FdrvsUdl-L3Mc656ts,male,171.5,73.1
FNC89HJ3V08ITqMLZJpnLnYKgpUrhFt-bf3l7lmlXCg,female,160.8,62.4
VtHovDRlfLg8eIpA5u7EIwPu2FH7sqT7zsdoh3qebHc,male,168.7,69.7
jMbO1EJytxZ5pLlfOUEEBAZxdJjJcWYvYydyoiQKIJE,male,167.0,57.8
0ix2B0qPwwgPAyBJM88yn6Wkhl6oLxhlUGOkN8jpt9c,female,149.86,49.44
evD97JVk2hX0oa09ckL0at05ZUtRrlBG_ynLaE-qJAI,female,170.3,58.1
6hDHPg9Gl4xq_yiwOERDmD9yYMRDLE9zTuXC3-G82fo,female,161.0,64.5
mslHtKkmzUdhwB9SQxLFjeRuXoXnGX1lt1xLStedw5E,male,177.0,70.0
tktjFBnHuHCRfpZ4sQwrIYs8s9s2ETdMNVcvALic8m8,male,175.5,81.3
EAWw2QfMPSiBeTdY3qxp7D4IFYFNzY8JgfekYkA8xMc,female,157.6,66.8
tGS2BVEi9Qo6wt-O3AYsb5-CTHP-rcDKjsgQTKvBLd0,female,160.5,54.2
8VDPJXsMB2HMFf8Q86E8ZD9Lc-r4VjBM8Dh5XMLe1iI,female,167.0,102.8
0rCweWiJLOAeo9TMaNn_fG4sQ8h3xjSjBXIVPVrE9pQ,male,175.2,98.1
exQYrj23Inw0lwzxpO-GaSKJVpV_eGUNkYP6PPHZWiQ,male,175.5,64.7
v1lTWJL_fmILp-MVCJP95ti6NQ6HMkF3JDH_4LhCWa0,female,160.0,63.1
Cnx_3RZkrvCxS-9dQAN635WAesZY1gjRST5V7FYWUS8,female,147.0,48.6
0RRTDLueddykSM_-MbQYeCfx43VR1uf19kN8n6L7sJA,female,164.0,77.3
6NGuzk2gwsmfRtM6l2BslVzfLrLy6eGSfWYT9cJ5ZH8,female,157.5,84.7
c-FLYzyvzDehOYi_MJEyz_vdvLkbQEizLh9on2_HJxA,male,160.0,47.7
JRR3QqiLd_qFK4-oscVuxqw1tiVs027yGRDtWW3qFVg,male,179.8,63.5
cDnrwu0ja1pmgc8jHlqtuTJPdn-rIhvOF1X_Jq1pKfQ,male,173.5,128.9
C_wJrNOhIWpaja4ncvdVenf51_qIKag-7RRYByEfvrg,female,151.5,57.1
r_qlMQvfPtcp43cElJLJVDUO3gxGNonbDVSUmTsbHz0,male,182.0,77.1
KSnPLyfQjUzB3cWfhOb3cD-qbINpzoWJLe2A_lNbx9M,female,156.4,50.4
EkVn3tUr9ADKeys1uEqhD5kw-BoAtjHKtWwOrUMWMDg,male,174.5,86.4
7dnXejm2Th498ayztH-MQHyk5QQkZhhgC9tTx2aLN7I,male,171.5,87.8
sKLS3PYRYIwRlNcVaVcyt5PFfFFxwXUV67O704IvTkk,female,152.5,55.0
oltX4f-GEqRvJbjI2lsfXavAV39ZVaGlHOsn9S8Jdjw,female,158.0,50.6
pPrKlT41Yvd82NOaN31WwdTZwVaTuDttLgy6FmMzRAM,female,164.5,125.7
t87BNp4IidvRYkVaw2FCTjX4C2HZd-Ns-WGMZHiBQtA,male,171.0,72.4
pAsHvm5c_om0l5lFeIn3JMf1DqE8cq1hcPekPbRwa9c,male,173.0,64.2
MINO0brW1_rwuxlK6qL5PLK3mFBQe4i4hO2cjxJbelo,male,176.7,129.2
En8QLW576zUomiqKqmbnAbRoQLtVzGaUNRt5zzNBYjM,male,171.5,68.2
keIXnzG2_SICqPzhM1RpNigNR2A483pLl3s2E0CGNWc,female,161.3,68.4
SzgZGEskBxSeXe2uoQ9AeQf_rbBcDh5JjoF2XS4W8ag,male,177.5,73.7
prtsQucgAHLEwpVjJJ-08y6-EIzTOo2JXvizWMjWK2o,male,174.5,86.2
WYH5QZe9lRTXAQ-JiyDq7KCW5R0q-9At7_9JsaoJ80I,male,171.0,87.2
3GqMbwCScUT-9HV_AYNEg15NJXnV1ucqd2iqzVIEU6g,male,179.0,87.3
ukeiRGOQVbel106MYzhFhhyhE3iWMsb6ShJdu9avS14,female,155.1,52.9
y8OKR7t2BZ0XWDuYRM4uFgHyLBJQQ1B8fwxjdbkH3zM,male,177.0,87.9
0QW7SNzqmRooRGXql2nRJG5HmfgDtvxaxDcovjh9DRQ,female,163.5,59.3
5NEY_5lj3LQcxtHNYCjcqS5vMJ8okWrt2PkRbl8SWfs,female,158.6,44.5
i2Bwkg7Wa4-SOZArgVeunqx2ZyrjaYk1NA-g4Da8VCg,male,172.0,90.7
vkFxfhTE30mCmnR67HYRg68RqO8ijppJdNDL9bVf05g,female,160.0,65.3
FlJ6-rg-jFweEckuyjjAv8WKCUezmttg_udsSCjFXdg,female,160.0,56.1
85pSx8BihvIFzHAXyo4UIMehELIu_6AmakzM7CzmVHc,female,160.0,68.0
vpjLNAha8VZXB2W0_4xNRPpNwYXjGJpj_nTPzMENOao,female,166.0,77.4
WY-foI1UM6dkA9wWSrOccAMQVbZAC2ay-PY6HNyK3LY,female,165.5,131.5
d9tIaDZjr8t9DJAstEk0Tx373Ni-r80URAlZkLsDGr8,female,154.0,43.8
aaPAdgM3VmDUi5EFGFCWcT-uycp-3pjO77w937DNDZg,female,168.0,74.1
59bc275b681516389ccf4162,female,164.0,127.9
Gxn8HOPPjfVFBVYSwGteHXwwPnv1E8SyLtc-bxXt5i4,male,162.0,80.0
ela3K7d9qiwzugqKZNlQXf8SKGvTCYN9Uwoj6RdRDBk,female,156.0,60.4
VJZOdVq5nG7XxV9OSj6ZJ90OTwNMAM_rdMZw4vpw0T0,female,171.0,66.3
N_v-B6rOBm2zBgvH8te-ogcddG6Q_QuZVyWXuu_nrkI,male,164.5,71.9
9WqMFHDk2TR3-oEDL4YXL_OKUh8OpOnILG4cBw6JBdo,female,163.5,52.3
W1DhwegBSvAsBraLd1PNtjIcXFSHpIyVr7-PrEKV6BA,female,158.0,60.6
U--TFVlYwMGzYt80Abyn0wB99EwmbY0gcga35WEQ1fI,female,161.5,58.3
uf08nHj8NW5bU1jKEJqScNvFUONolbU1e2GOkQbJx4E,female,157.0,59.6
AQ4chw5ez_DNNqEY0C7iIheOk4DEcyvZX0oDXQN_SZw,male,183.4,77.1
NstLEdWIquRPVL4FtyjfQu5cMWSx_896oZSU_6cMdr0,female,164.0,78.9
59bc276e681516389ccf486b,female,166.5,57.1
59bc276f681516389ccf48b0,female,159.8,51.7
V6jr-aA22MaxiaYEruDoNWu25IxqKfO8dNTvxnXLElc,male,170.0,61.8
K7M5hwCYRUP6JUGRu6Aw1aFFUr8hxcc2HfxvINNgM-Q,female,160.5,96.7
g5dXQOee9z0ycjenYwpludqK5JBLEXxA3VAPP7S9jj4,female,162.5,77.9
k1pRntj05Wsoev_SLDOZ1d6T3f6RuQxx3HxHNuy0Dck,female,161.0,78.4
SkGkB_nxSWIrR1nPm021UAlPqKb-hUSVnqNxf5DZiSo,female,168.0,62.8
DCv4XY9qnXbJwsYWLdQ_NBn9P_eS1a3CGkIVjCs70r4,male,174.0,71.8
p4x9jFL_gMbiDN8z3NIPNVSla2s9y6SEnQh8Z3d2-tU,female,170.6,106.5
JpAYFyDkWKxxJ_CEJLW7J6pAHNDENq07_NSFgTN2K4E,female,152.0,49.8
59bc2768681516389ccf4632,male,172.0,79.3
jpCMhSbmRPNpbDdZdI7hZd8Y9av7i5cn29ylTCJHxfQ,female,165.5,63.3
PMRjxBjzHBVxfATw1fX5GG8Ksyp_7BkqdyWaDvho-tc,female,149.0,44.9
VxgGThp0gjU9NAML00vBddEijYj-rR66kjxsfsRUqiw,male,182.0,82.1
UGy_sdIHzARXHIDtWBw_lKvsTzj4WHcobmnJRQ2uiw8,female,162.0,64.9
b8lbSlmABHQ3WjdWXt7FDitnjCHBSkUz42oLXRqu_DU,female,160.0,53.6
rVgKz6uA6gO8wmtxkY8oU3Fe3k6OHDOAhAPbGVpY32A,female,167.6,54.4
qY9aOKuirc4g-3LxZYZYvrZcKyGaf2iX2SQOQPoVdmg,female,164.5,67.0
R7EmGW8u0dw6dk6_g2Slckq0QQ2DwBvT5Wh0vZtRgD4,male,181.0,95.0
DL_WAdynzJel4FVSUAOJqQAjVrOc_Me8LZa4al2ZqXE,female,167.0,60.2
f5nHfVaq9zhTSzegIjT27PK43lmiUeYo9CKJ4xLmsMI,female,167.6,50.8
KGzJCosVL4DMUh9g-nEl4D_7TwPBCQ6hipd87aOxtWw,female,158.5,62.0
v3mVsCbLKr2qKvlhPa2TfR9ijZ-amgpxTRx5n_n2Lm0,male,175.0,76.0
CE5PaY-_MjLeFzqHc1WwCbJjCAM4xva20sWN7MPPLmc,female,154.5,56.3
V2eo5TFgvj4wj5oyVrzB7-vwmswZEwWz762-XuRfzls,female,174.6,69.4
489HgtmBtqFJ9c4i5YSmS5RcbGxfg0kUD5him8uUE1E,female,158.4,92.0
