subject_id,gender,height_cm,weight_kg
Ajn0E-3juN47I6dkxaN3TiP_VVDioqI5OEBdFop48tI,female,165.9,65.4
pKKAZWxojdBbyA2c8wfgdxHnCNqVypehWNiBlKx-iLM,female,154.2,42.85
-JtWlHEvrLPWagPaAhm0eQ_UKMSg8By1yoe-SkdrKSs,female,160.9,61.95
EnjthWFE8xVHewrQK033alOt-MyRDjAZtl5pq1xPYsA,male,175.5,76.45
an68KPiV2AF5miGBG1uFJ5V62AqEkVCvmv_4UhvMmk0,female,162.85,48.85
RdU37isT98Jr1e9DqgrjHCl5gBYI1lDJtt7n7QdhFr4,female,158.1,59.85
wrHSTkProLSpm66reKuVm14kgLBncEgmjCPQeMDe6_g,male,163.75,53.55
aiwELnE51kqXxPdv9JD6ywIiY_pXUPkPf9VgdYfyLnM,male,184.4,82.65
gD2OOnNahi2AAnxxi2yPYSQOqv0U4Zv7NddwYPxp-mU,male,191.65,74.85
_UIZN2KX9YMinrn-UkUP23ta1UIIA6CSbAKoPgiIMcg,male,162.05,52.75
IjWPiWUM9mg0EKc9pJsq_32y48utYeL2wrEnFBTvNCw,male,171.6,59.9
x-kSccAgyNrinXkHgp3Q4l7OpcnL3kxfpT0n4D5Wxzw,male,189.5,86.2
3KCeTD5hLgY5qDa-Dhg0lcrnsRM_EndCLV4DMSOQfQM,male,176.1,63.3
T0RAtMAIV4dHp9mMak8ATuW4pS1rKNvU6xM6sCxbBSw,male,171.4,72.5
59bc275f681516389ccf42e9,male,168.5,70.2
59bc2766681516389ccf4576,male,173.2,61.7
6xSAqvQy_Z-Us1pkj_VDz5A-AZaIveMqaVDT-zuO-nE,female,170.6,66.8
TlIG_3sXZLuH7T9nQMivDNnzJn4fFYQy1P0KqC3ldUQ,female,163.2,61.7
a0iE7PPHJxEy8GXFpMtwTdy5QNfOL8F8oB1XDoNi7jI,female,166.2,63.65
c7wfAQy-k3zLcCoh_C4htlLYfc9ErocIM0P3ZVahwfQ,male,197.5,90.8
59bc2764681516389ccf44a5,female,167.5,64.1
Dx8-J4Z8XqOxz0bbQgMaajF0hI9-OhZMt6igruDAvLE,male,174.5,63.8
Luz-tgL7-IvsYF7B2jmP36yy-bWaWFK9po3PvES8iWY,male,186.5,82.2
DSgq40EMwRGMB0PcvBnYuRxMM3haDvyMyOM5emZTbB0,male,166.85,67.05
fH5Ar9JCMOjv0J61UJlT-PnhGh6R2Z3xWHFldJ7I8a8,female,165.4,54.0
_HHaGa0t2JffDt5OlyfmnroNlgj2vxmp2_MlA7uarDU,female,169.5,56.85
JQdy-88z-nwoTsWK0MBddftPtzxSNC6pxN7Iel4oScQ,female,167.05,62.4
59bc275f681516389ccf42f8,male,168.2,67.3
kFu9zeGv2zVM4-Io14cPZ5XJIpp9KpjnRnO-u52-qFk,male,175.0,72.2
PIZ1cRaUw7gN2AHaIaE6UPVAnuAq-6LR04I9pkj6FLo,female,174.0,66.55
zd7KNStAd0g52jsmg9UjyqwiBNNr86naOoQvuxEctpQ,male,172.0,69.5
5a1c4633e7cb790004827642,female,158.0,50.05
pdCgKful2WPOp1lYfGfHxhfjqK0cHU5DxC-WsJHAqvc,female,174.2,61.0
59bc2763681516389ccf445b,female,163.8,59.2
PThSjJ6NWmj_q2nU966OHPowwt2HsvtPWtw7O1ZAAGE,male,173.5,70.2
ftFYU5abWvEf6thIXIS7EffZUYReS67iNXOtogArIfw,male,170.3,63.15
59bc2766681516389ccf4570,female,165.1,59.6
7JBr5FGDywYl_kllq0_0fRMFWzDU0TB94LSGzryaPLo,male,173.2,65.55
nREZ8AObIzCmwqwrD7QUBTNcuxc9yDGm6YPIgAmaw6o,male,171.25,68.1
59bc2760681516389ccf4304,female,146.4,47.4
2LAYE-qYtPZMSeH-gUgP-H4o-WRPzC0Cg9Nf5_AkLBE,male,179.7,73.85
59bc276f681516389ccf48d4,female,167.8,57.9
3beF_SfHubarfkfoyCeA6EDR7UqE8j-bgj4bzBFzGFM,male,179.7,73.8
fKDrVNXxjZ9Y9A-iLCwppvYitS4zHXPB8Oa-W523kXQ,female,167.25,57.6
LzH7czr0Gmn0o3HS12dEELqX8o51tta9kRPflhvjwsY,male,181.0,72.15
c1EhFyDUVoxhuK5HC1z-Dkdeo8qB5g4ilw93VZpVnZQ,male,162.35,60.45
fUgWXoKIlc4DVwm0UIqSDLRA9WtjI5dhoo7OyzMvf2g,female,170.6,60.3
gfOnViSX9AGNiNRSILjuf5pri_P9P7f3ss5RgKIN364,female,154.45,49.55
F8uj6alzF3nazjTnSgq_DWDsiCHc0WnYGNyVOMEf-8A,male,170.9,66.5
59bc275c681516389ccf41b3,male,168.55,64.7
59bc276c681516389ccf47c0,male,164.6,61.7
SJ47wUVOSH7IsveBnaFMvOhunNN_vK-Q0JxKIYsBDBA,female,155.6,50.6
pIAoqmGOHu9eodV7_u2NEqTY5uM_26Y7OvSyWYABzjo,male,182.6,75.0
Emel-lHVBvlLuD5uIvHVc3k8-1jsv0Uad9NRjsjrkKQ,female,164.5,56.7
qR6MuUrdeXdoHbvy6y-uc78PRQe1wUvQ0AB2O80PIx8,female,165.45,57.4
59bc275f681516389ccf42ec,female,161.0,55.0
59bc275c681516389ccf41b9,female,172.5,111.5
59bc275a681516389ccf40e1,female,172.1,111.1
59bc2764681516389ccf44b8,female,175.55,106.05
